OrderID,UserID,TableNumber,WaiterID,OrderDateTime,ItemsOrdered,NumberOfGuests,BillAmount,PaymentMethod,DiscountUsed,WaitTime,Tip,CustomerSatisfaction
O0066,U004,9,W007,1/4/2025 20:16,"[Fries,Soup]",5,47.15,Cash,Yes,,5.15,Satisfied
O0067,U050,4,W006,1/7/2025 1:11,"[Water,Pizza,Wine,Salad,Soup]",2,111.19,CreditCard,Yes,27,5.33,Neutral
O0068,U021,10,W006,1/2/2025 16:55,"[Juice,Water,Salad,Steak,Wine]",2,149.6,PayPal,No,30,14.11,Neutral
O0069,U029,8,W002,1/7/2025 3:01,"[Salad,Steak,Coke,Water,Burger]",3,102.35,CreditCard,No,7,4.87,Neutral
O0070,U046,10,W003,1/10/2025 15:59,"[Juice,Burger,Coke,Wine,Bread]",4,96.9,CreditCard,Yes,41,0,Unsatisfied
O0071,U033,4,W002,1/10/2025 12:49,"[Salad,Soup,Water,Bread]",6,145.32,Cash,No,48,9.28,Satisfied
O0072,U047,5,W006,1/7/2025 6:26,"[Wine,Beer]",4,37.96,CreditCard,No,32,0,Unsatisfied
O0073,U043,7,W006,1/2/2025 17:41,"[Soup,Salad,Water,Fries,Pizza]",3,109.12,CreditCard,Yes,60,17.23,Satisfied
O0074,U003,7,W009,1/4/2025 13:51,"[Beer,Wine,Burger,Bread]",2,116.26,Cash,No,47,9.54,Satisfied
O0075,U010,8,W002,1/2/2025 16:47,"[Wine,Soup,Juice]",6,64.75,PayPal,No,19,4.98,Neutral
O0076,U009,1,W007,1/2/2025 3:27,"[Pasta,Juice,Wine]",2,35.74,CreditCard,No,40,1.28,Neutral
O0077,U006,4,W005,1/5/2025 3:24,"[Steak,Juice,Water,Bread]",5,109.17,Cash,Yes,8,0,Unsatisfied
O0078,U008,8,W004,1/5/2025 4:04,"[Beer,Water,Wine,Pizza]",2,80.8,CreditCard,No,5,1.3,Neutral
O0079,U044,4,W008,1/4/2025 2:25,"[Salad,Coke,Pizza]",1,63.13,PayPal,No,47,10.71,Satisfied
O0080,U048,1,W001,1/2/2025 10:43,"[Fries,Pasta,Juice,Coke]",5,62.15,CreditCard,No,,9.71,Satisfied
O0081,U045,3,W008,1/10/2025 12:27,"[Juice,Wine,Coke,Soup]",5,50.19,CreditCard,Yes,32,7.56,Satisfied
O0082,U044,6,W001,1/9/2025 23:58,"[Pizza,Juice,Coke,Wine]",5,95.92,PayPal,No,54,3.12,Neutral
O0083,U028,7,W006,1/2/2025 9:23,"[Steak,Pasta]",4,71.48,Cash,No,21,0.62,Neutral
O0084,U010,2,W009,1/10/2025 4:40,"[Water,Fries]",6,73.56,CreditCard,No,23,0,Unsatisfied
O0085,U021,10,W007,1/7/2025 22:03,"[Beer,Pizza]",3,52.71,CreditCard,No,41,2.65,Satisfied
O0086,U025,1,W006,1/9/2025 7:13,[Wine],6,22.43,CreditCard,Yes,19,0,Unsatisfied
O0087,U015,9,W008,1/3/2025 14:09,"[Pasta,Soup,Juice,Burger,Beer]",2,60.5,PayPal,No,26,4.87,Satisfied
O0088,U033,1,W003,1/4/2025 17:53,[Pizza],3,33.03,PayPal,Yes,6,4.6,Satisfied
O0089,U007,3,W004,1/6/2025 9:58,"[Beer,Water,Coke,Burger,Pasta]",3,130.56,CreditCard,Yes,7,25.85,Satisfied
O0090,U009,4,W004,1/10/2025 9:48,"[Coke,Beer,Salad,Bread,Water]",6,165.46,PayPal,No,32,10.92,Neutral
O0091,U008,6,W007,1/10/2025 20:04,[Wine],1,29.84,PayPal,No,36,0,Unsatisfied
O0092,U007,8,W004,1/9/2025 3:33,"[Coke,Soup,Bread,Fries,Beer]",2,79.47,CreditCard,No,59,12.33,Satisfied
O0093,U012,4,W002,1/10/2025 9:38,[Salad],3,28.83,CreditCard,No,48,0,Unsatisfied
O0094,U018,9,W003,1/8/2025 14:44,"[Pasta,Soup,Coke]",5,95.33,PayPal,Yes,41,0,Unsatisfied
O0095,U032,8,W009,1/7/2025 1:59,"[Steak,Water]",3,31.31,PayPal,Yes,20,0.8,Neutral
O0096,U028,3,W007,1/6/2025 18:22,"[Pasta,Wine]",2,63.75,CreditCard,No,28,0,Unsatisfied
O0097,U015,8,W005,1/5/2025 9:19,[Wine],6,38.3,Cash,Yes,37,3.67,Neutral
O0098,U001,10,W008,1/9/2025 16:29,"[Juice,Coke]",5,58.43,Cash,Yes,54,1.87,Neutral
O0099,U005,1,W008,1/3/2025 7:41,[Pizza],5,46.92,Cash,No,9,0,Unsatisfied
O0100,U039,7,W001,1/6/2025 20:45,"[Bread,Coke]",2,34.79,CreditCard,No,55,0,Unsatisfied
O0101,U012,5,W007,1/8/2025 23:59,"[Coke,Pasta,Salad,Burger]",1,101.55,CreditCard,No,31,0,Unsatisfied
O0102,U019,8,W002,1/6/2025 12:43,"[Burger,Bread,Coke,Water]",3,96.61,Cash,Yes,7,9.31,Neutral
O0103,U024,7,W005,1/8/2025 9:09,[Pasta],1,27.1,PayPal,No,12,4.8,Satisfied
O0104,U003,1,W008,1/6/2025 7:16,"[Water,Steak,Pizza,Burger]",3,84.92,PayPal,Yes,44,0,Unsatisfied
O0105,U043,10,W008,1/3/2025 1:11,"[Wine,Bread]",3,54.02,PayPal,No,31,1.07,Neutral
O0106,U009,4,W008,1/10/2025 15:33,"[Fries,Pasta,Bread]",1,29.9,Cash,Yes,43,2.44,Neutral
O0107,U037,6,W008,1/2/2025 11:12,"[Steak,Pasta,Fries,Wine]",1,99.05,Cash,No,52,14.29,Satisfied
O0108,U030,8,W004,1/5/2025 0:33,"[Bread,Salad,Juice,Fries]",3,105.91,PayPal,No,25,17.37,Satisfied
O0109,U046,9,W004,1/4/2025 15:56,[Juice],6,30.94,Cash,No,50,4.91,Satisfied
O0110,U041,2,W006,1/10/2025 15:33,"[Coke,Pizza,Pasta,Salad,Steak]",3,77.6,Cash,Yes,26,5.55,Satisfied
O0111,U019,6,W006,1/8/2025 10:34,"[Bread,Soup,Wine,Juice,Beer]",1,45.78,CreditCard,Yes,60,0,Unsatisfied
O0112,U016,10,W006,1/3/2025 4:29,"[Water,Wine]",4,39.83,CreditCard,No,51,1.37,Neutral
O0113,U035,7,W009,1/1/2025 12:00,"[Salad,Bread]",1,38.85,CreditCard,No,27,3.24,Neutral
O0114,U036,7,W005,1/7/2025 3:52,"[Salad,Juice]",2,66.39,CreditCard,No,59,0,Unsatisfied
O0115,U013,7,W010,1/4/2025 13:03,[Water],6,38.18,CreditCard,No,16,2.67,Satisfied
O0116,U041,8,W004,1/10/2025 13:05,"[Bread,Juice,Pasta]",4,91.2,Cash,No,,5.14,Neutral
O0117,U027,5,W008,1/4/2025 4:18,"[Juice,Salad,Burger]",3,51.52,Cash,Yes,40,1.84,Neutral
O0118,U035,3,W004,1/2/2025 3:49,"[Beer,Coke]",5,33,Cash,Yes,27,0,Unsatisfied
O0119,U021,5,W003,1/9/2025 0:38,"[Coke,Burger,Fries,Beer]",6,83.33,Cash,No,17,7,Satisfied
O0120,U030,1,W005,1/5/2025 7:14,"[Water,Juice,Pasta,Beer,Coke]",1,74.99,PayPal,Yes,21,6.45,Satisfied
O0121,U037,2,W007,1/6/2025 7:21,"[Beer,Water]",1,56.28,PayPal,Yes,43,6.91,Satisfied
O0122,U007,5,W005,1/5/2025 10:14,[Fries],3,30.05,CreditCard,Yes,24,4.69,Satisfied
O0123,U042,9,W001,1/9/2025 12:58,"[Soup,Steak,Pizza,Beer,Bread]",4,54.11,CreditCard,Yes,21,0.84,Neutral
O0124,U012,5,W008,1/2/2025 15:09,[Fries],1,14.11,Cash,No,40,0.13,Neutral
O0125,U049,10,W010,1/9/2025 0:01,"[Coke,Beer,Salad]",6,53.09,CreditCard,No,22,7.31,Satisfied
O0126,U011,3,W005,1/4/2025 2:55,[Juice],5,30.35,PayPal,No,60,0,Unsatisfied
O0127,U035,9,W003,1/4/2025 2:04,"[Salad,Pizza,Beer,Bread]",5,57.81,PayPal,Yes,54,1.23,Neutral
O0128,U039,3,W010,1/6/2025 2:07,"[Juice,Salad,Pasta]",4,50.71,CreditCard,Yes,29,1.74,Neutral
O0129,U015,9,W005,1/2/2025 22:47,"[Pasta,Coke,Steak]",4,106.98,Cash,No,28,9.07,Neutral
O0130,U009,2,W004,1/1/2025 10:21,"[Water,Fries,Salad,Wine]",5,139.02,PayPal,No,37,7.06,Neutral
O0131,U016,2,W008,1/5/2025 3:10,[Beer],2,23.02,Cash,No,17,1.41,Neutral
O0132,U006,10,W005,1/2/2025 14:52,"[Juice,Wine,Burger,Soup,Salad]",2,134.41,PayPal,Yes,41,0,Unsatisfied
O0133,U042,2,W003,1/3/2025 14:16,"[Salad,Wine]",4,48.7,PayPal,Yes,60,0,Unsatisfied
O0134,U039,9,W010,1/4/2025 20:08,"[Pizza,Beer,Wine,Burger]",5,106.33,Cash,Yes,9,0,Unsatisfied
O0135,U023,2,W010,1/7/2025 0:38,"[Pizza,Beer,Pasta,Juice]",6,63,CreditCard,No,49,0,Unsatisfied
O0136,U028,5,W009,1/2/2025 7:01,"[Beer,Juice]",3,34.23,Cash,No,20,0.21,Neutral
O0137,U015,3,W006,1/5/2025 1:42,"[Fries,Coke,Bread,Steak]",3,131.09,Cash,No,18,17.42,Satisfied
O0138,U038,9,W005,1/8/2025 14:38,[Salad],2,16.32,CreditCard,No,28,0.01,Neutral
O0139,U037,1,W008,1/6/2025 6:40,"[Fries,Salad,Pizza]",1,61.98,CreditCard,Yes,21,5.45,Satisfied
O0140,U040,1,W005,1/2/2025 19:22,"[Steak,Pizza,Pasta,Soup,Juice]",6,92.95,PayPal,Yes,34,0,Unsatisfied
O0141,U037,6,W009,1/9/2025 19:26,"[Coke,Water,Soup]",3,53.48,CreditCard,No,42,0,Unsatisfied
O0142,U027,3,W006,1/5/2025 11:25,"[Fries,Burger,Bread]",5,53.3,CreditCard,No,52,9.86,Satisfied
O0143,U043,5,W009,1/6/2025 16:59,"[Pasta,Beer,Water,Salad,Pizza]",6,126.54,CreditCard,Yes,9,20.49,Satisfied
O0144,U039,2,W007,1/8/2025 8:09,"[Juice,Bread,Soup,Steak,Pizza]",5,66.8,PayPal,Yes,50,4.28,Satisfied
O0145,U006,9,W004,1/10/2025 8:42,"[Water,Coke,Steak,Pasta]",2,88.13,PayPal,Yes,30,6.74,Satisfied
O0146,U040,8,W002,1/6/2025 9:18,"[Soup,Steak]",6,47.75,CreditCard,No,12,7.65,Satisfied
O0147,U049,9,W004,1/5/2025 6:42,"[Beer,Burger,Soup,Fries,Pasta]",4,125.07,CreditCard,No,16,16.42,Satisfied
O0148,U033,10,W004,1/4/2025 7:15,"[Burger,Beer,Soup]",6,54.6,PayPal,Yes,59,9.8,Satisfied
O0149,U012,2,W001,1/5/2025 21:03,"[Fries,Salad,Juice,Wine,Pizza]",1,98.65,PayPal,No,48,11.23,Satisfied
O0150,U038,8,W006,1/2/2025 20:36,[Bread],3,20.47,PayPal,No,55,0.96,Neutral
O0151,U017,5,W005,1/2/2025 6:45,"[Fries,Juice,Coke,Burger]",4,90.05,Cash,No,43,6.71,Neutral
O0152,U048,5,W007,1/4/2025 9:33,"[Fries,Water,Salad,Bread]",6,59.87,Cash,Yes,14,8,Satisfied
O0153,U022,7,W006,1/8/2025 0:58,"[Coke,Pizza,Steak,Water]",4,74.46,Cash,Yes,14,0,Unsatisfied
O0154,U013,5,W001,1/10/2025 0:39,"[Salad,Soup]",1,37.94,PayPal,Yes,53,0.52,Neutral
O0155,U027,8,W003,1/9/2025 17:25,[Steak],5,26.93,PayPal,Yes,54,0,Unsatisfied
O0156,U043,1,W001,1/6/2025 10:19,"[Coke,Fries]",5,34.17,PayPal,Yes,8,0,Unsatisfied
O0157,U011,10,W007,1/9/2025 6:36,"[Coke,Pizza,Juice,Beer]",6,122.52,Cash,Yes,29,7.39,Satisfied
O0158,U016,8,W005,1/4/2025 3:56,"[Coke,Bread,Water,Steak,Fries]",5,151.91,PayPal,No,11,17.41,Satisfied
O0159,U035,7,W005,1/9/2025 9:13,[Juice],2,29.46,CreditCard,Yes,30,4.05,Satisfied
O0160,U021,6,W006,1/2/2025 22:05,"[Juice,Fries,Pasta,Coke]",1,74.49,Cash,No,48,1.1,Neutral
O0161,U021,5,W003,1/9/2025 12:50,"[Soup,Coke,Salad,Fries]",5,115.27,PayPal,Yes,18,0,Unsatisfied
O0162,U010,8,W009,1/8/2025 3:59,"[Burger,Juice,Bread,Coke]",2,95.81,Cash,Yes,16,14.89,Satisfied
O0163,U017,5,W006,1/2/2025 22:31,"[Soup,Steak]",4,49.68,PayPal,No,17,0.02,Neutral
O0164,U012,2,W001,1/4/2025 9:19,[Pizza],5,22.46,PayPal,No,22,1.74,Neutral
O0165,U037,2,W004,1/9/2025 18:32,"[Bread,Juice,Soup,Steak]",1,81.33,CreditCard,No,5,4.66,Neutral
O0166,U010,6,W003,1/9/2025 11:15,"[Fries,Bread,Steak,Juice]",4,113.47,PayPal,No,22,10.95,Satisfied
O0167,U025,4,W001,1/10/2025 4:25,[Steak],1,17.42,Cash,Yes,55,1.17,Satisfied
O0168,U027,4,W007,1/2/2025 12:38,[Pizza],1,15.83,Cash,Yes,36,2.28,Satisfied
O0169,U045,5,W005,1/6/2025 18:37,"[Steak,Pizza,Wine,Beer,Coke]",6,71,PayPal,Yes,14,10.49,Satisfied
O0170,U012,5,W007,1/6/2025 4:53,"[Wine,Steak,Pasta]",6,41.9,CreditCard,Yes,29,0,Unsatisfied
O0171,U024,5,W010,1/1/2025 22:18,"[Bread,Water,Wine,Salad]",1,52.06,Cash,Yes,14,10.02,Satisfied
O0172,U046,4,W003,1/9/2025 18:28,[Burger],6,51.6,Cash,No,44,8.41,Satisfied
O0173,U036,6,W005,1/7/2025 17:39,"[Soup,Coke]",1,36.34,Cash,No,28,6.8,Satisfied
O0174,U040,9,W003,1/10/2025 5:47,"[Juice,Steak,Pizza,Burger]",1,67.29,CreditCard,No,25,1.03,Neutral
O0175,U011,2,W010,1/5/2025 0:22,"[Pasta,Juice,Fries,Wine,Coke]",1,63.8,PayPal,Yes,9,0,Unsatisfied
O0176,U014,4,W006,1/7/2025 1:40,"[Water,Wine,Burger,Pasta,Fries]",5,88.88,PayPal,No,7,5.91,Neutral
O0177,U009,10,W009,1/3/2025 21:18,"[Steak,Burger,Pasta,Bread,Beer]",2,97.23,PayPal,No,47,4.38,Neutral
O0178,U010,10,W006,1/9/2025 6:37,"[Bread,Steak,Burger,Coke]",2,80.3,PayPal,Yes,47,10.98,Satisfied
O0179,U031,2,W008,1/6/2025 10:42,"[Bread,Pasta,Pizza,Wine,Coke]",6,94.13,PayPal,No,44,14.89,Satisfied
O0180,U025,3,W008,1/5/2025 12:21,"[Coke,Pizza,Burger]",3,91.85,CreditCard,Yes,15,0,Unsatisfied
O0181,U005,10,W007,1/8/2025 23:49,"[Beer,Steak]",3,36.55,Cash,Yes,56,6.33,Satisfied
O0182,U015,3,W001,1/9/2025 19:15,"[Soup,Juice,Burger]",6,70.9,Cash,Yes,9,5.95,Satisfied
O0183,U030,5,W006,1/5/2025 20:15,"[Fries,Water,Beer,Burger]",6,108.15,CreditCard,Yes,45,0,Unsatisfied
O0184,U029,10,W005,1/8/2025 4:55,[Salad],5,34.95,CreditCard,No,21,0,Unsatisfied
O0185,U031,6,W005,1/5/2025 19:03,[Beer],6,34.8,Cash,No,23,3.28,Neutral
O0186,U003,3,W001,1/6/2025 5:57,"[Wine,Coke,Soup]",2,82.57,PayPal,No,29,4.58,Neutral
O0187,U044,8,W004,1/7/2025 9:11,"[Pasta,Coke,Bread,Juice,Pizza]",4,89.84,PayPal,Yes,44,0,Unsatisfied
O0188,U010,9,W008,1/8/2025 4:17,"[Water,Steak,Bread,Wine]",3,118.2,PayPal,No,31,0,Unsatisfied
O0189,U019,7,W003,1/1/2025 20:39,"[Bread,Salad,Wine]",2,62.46,Cash,No,38,0,Unsatisfied
O0190,U001,8,W001,1/4/2025 9:57,"[Coke,Juice,Pizza,Salad,Burger]",5,168.41,PayPal,No,42,15.49,Satisfied
O0191,U033,5,W006,1/3/2025 5:10,"[Bread,Wine]",3,66.03,Cash,No,22,0.61,Neutral
O0192,U021,10,W002,1/2/2025 16:11,"[Wine,Water,Pasta,Juice,Beer]",5,94.84,Cash,Yes,40,6,Neutral
O0193,U039,4,W010,1/3/2025 9:42,"[Bread,Wine,Fries,Pizza,Soup]",4,115.79,CreditCard,Yes,11,0,Unsatisfied
O0194,U024,5,W006,1/6/2025 18:33,"[Beer,Fries,Juice,Pasta,Water]",5,115.88,Cash,No,17,14.02,Satisfied
O0195,U007,10,W004,1/7/2025 4:04,"[Soup,Pizza,Pasta]",1,34.44,Cash,Yes,8,0.47,Neutral
O0196,U040,2,W003,1/6/2025 2:38,"[Burger,Coke,Soup,Bread,Steak]",6,115.91,PayPal,Yes,42,0,Unsatisfied
O0197,U006,3,W005,1/8/2025 13:54,"[Soup,Beer,Pizza,Water,Wine]",6,81.55,Cash,Yes,13,10.36,Satisfied
O0198,U007,2,W010,1/8/2025 21:22,[Wine],4,34.7,PayPal,No,14,0,Unsatisfied
O0199,U006,8,W002,1/3/2025 1:15,"[Steak,Beer]",1,38.14,Cash,No,16,0,Unsatisfied
O0200,U001,4,W001,1/7/2025 8:38,"[Burger,Coke,Pizza]",5,96.48,CreditCard,Yes,42,0,Unsatisfied
O0201,U004,8,W002,1/3/2025 2:08,"[Pasta,Coke,Bread]",2,65.9,PayPal,No,53,7.65,Satisfied
O0202,U002,1,W004,1/6/2025 20:00,"[Pizza,Water,Steak,Soup]",4,95.04,CreditCard,Yes,55,0,Unsatisfied
O0203,U036,3,W002,1/3/2025 13:41,"[Water,Wine]",3,58.88,CreditCard,No,34,5.2,Satisfied
O0204,U012,5,W009,1/8/2025 2:09,"[Soup,Wine,Salad]",6,57.62,Cash,No,43,0,Unsatisfied
O0205,U050,1,W007,1/8/2025 12:59,"[Juice,Coke,Water,Salad,Pasta]",3,115.48,Cash,No,26,7.55,Satisfied
O0206,U004,9,W007,1/9/2025 2:43,[Fries],2,23.66,CreditCard,No,46,1.35,Neutral
O0207,U039,4,W009,1/9/2025 11:17,"[Juice,Pasta,Pizza,Burger]",6,109.85,PayPal,Yes,18,0,Unsatisfied
O0208,U036,6,W005,1/4/2025 17:36,"[Steak,Coke,Juice]",3,95.8,Cash,No,53,5.36,Neutral
O0209,U019,10,W001,1/2/2025 15:43,"[Fries,Pizza,Pasta,Salad]",3,61.35,PayPal,No,48,6.11,Neutral
O0210,U017,5,W004,1/7/2025 8:01,"[Fries,Steak]",3,33.89,CreditCard,Yes,34,0,Unsatisfied
O0211,U046,9,W009,1/5/2025 22:46,"[Pasta,Salad,Burger,Soup,Fries]",6,112.43,PayPal,No,48,13.27,Satisfied
O0212,U043,3,W008,1/6/2025 4:53,"[Beer,Salad]",3,47.73,PayPal,No,20,7.9,Satisfied
O0213,U019,6,W005,1/4/2025 15:40,"[Steak,Beer,Fries]",4,52.26,PayPal,Yes,30,0,Unsatisfied
O0214,U014,3,W007,1/7/2025 13:41,"[Pasta,Coke,Fries,Pizza,Beer]",2,94.26,PayPal,Yes,39,0,Unsatisfied
O0215,U022,2,W002,1/7/2025 11:43,"[Juice,Soup,Burger]",1,35.37,PayPal,Yes,55,4.13,Satisfied
